Type;Count
ACC;8226
BLCA;117053
BRCA;89568
CESC;68893
CHOL;3764
COAD;252773
DLBC;6629
ESCA;29700
GBM;55177
HNSC;87914
KICH;2286
KIRC;25722
KIRP;19284
LAML;3900
LGG;32780
LIHC;45440
LUAD;194729
LUSC;172826
MESO;2709
OV;39628
PAAD;24849
PCPG;1946
PRAD;24779
READ;57699
SARC;17453
SKCM;353450
STAD;183107
TGCT;2706
THCA;5834
THYM;2396
UCEC;626945
UCS;8774
UVM;1490
