epoch;accuracy;f1_beta_macro;f1_beta_micro;f1_macro;f1_micro;fn;fp;learning_rate;loss;precision;recall;tn;tp;val_accuracy;val_f1_beta_macro;val_f1_beta_micro;val_f1_macro;val_f1_micro;val_fn;val_fp;val_loss;val_precision;val_recall;val_tn;val_tp
0;0.416508287191391;0.25913313031196594;0.4165082275867462;0.25913313031196594;0.4165082275867462;6588.0;5.0;0.0010000000474974513;2.396981954574585;0.9936143159866333;0.10562042146921158;235707.0;778.0;0.7081544995307922;0.4514602720737457;0.7081544399261475;0.4514602720737457;0.7081544399261475;1196.0;3.0;1.3595958948135376;0.9966813921928406;0.42966142296791077;67101.0;901.0
1;0.8072223663330078;0.5841413140296936;0.807222306728363;0.5841413140296936;0.807222306728363;2600.0;6.0;0.0010000000474974513;0.9357326030731201;0.9987426400184631;0.6470268964767456;235706.0;4766.0;0.8531234860420227;0.6028322577476501;0.8531234264373779;0.6028322577476501;0.8531234264373779;367.0;21.0;0.5571709871292114;0.9880068302154541;0.824988067150116;67083.0;1730.0
2;0.9227532148361206;0.7759260535240173;0.9227531552314758;0.7759260535240173;0.9227531552314758;1222.0;14.0;0.0010000000474974513;0.42421141266822815;0.997726559638977;0.8341026306152344;235698.0;6144.0;0.9775870442390442;0.9105353355407715;0.9775869846343994;0.9105353355407715;0.9775869846343994;117.0;0.0;0.13776232302188873;1.0;0.9442059993743896;67104.0;1980.0
3;0.9716264009475708;0.927212655544281;0.971626341342926;0.927212655544281;0.971626341342926;573.0;11.0;0.0010000000474974513;0.20869022607803345;0.9983832836151123;0.922210156917572;235701.0;6793.0;0.9876013398170471;0.9502290487289429;0.9876012802124023;0.9502290487289429;0.9876012802124023;40.0;0.0;0.06383047252893448;1.0;0.9809251427650452;67104.0;2057.0
4;0.9875102043151855;0.971659243106842;0.9875101447105408;0.971659243106842;0.9875101447105408;249.0;13.0;0.0010000000474974513;0.1107051894068718;0.9981766939163208;0.9661960601806641;235699.0;7117.0;0.9856938719749451;0.9551659822463989;0.9856938123703003;0.9551659822463989;0.9856938123703003;34.0;8.0;0.04819011688232422;0.9961371421813965;0.9837863445281982;67096.0;2063.0
5;0.9919902086257935;0.9833436608314514;0.9919901490211487;0.9833436608314514;0.9919901490211487;117.0;11.0;0.0010000000474974513;0.06915789842605591;0.9984848499298096;0.9841161966323853;235701.0;7249.0;0.9918931722640991;0.9757335782051086;0.9918931126594543;0.9757335782051086;0.9918931126594543;22.0;2.0;0.027837520465254784;0.9990370869636536;0.9895088076591492;67102.0;2075.0
6;0.9948411583900452;0.9897260069847107;0.9948410987854004;0.9897260069847107;0.9948410987854004;82.0;8.0;0.0010000000474974513;0.0495937205851078;0.9989029169082642;0.9888677597045898;235704.0;7284.0;0.9938006401062012;0.982685923576355;0.9938005805015564;0.982685923576355;0.9938005805015564;18.0;2.0;0.022598933428525925;0.9990389347076416;0.991416335105896;67102.0;2079.0
7;0.9968775510787964;0.9943134188652039;0.9968774914741516;0.9943134188652039;0.9968774914741516;51.0;4.0;0.0010000000474974513;0.03478214517235756;0.9994534850120544;0.9930763244628906;235708.0;7315.0;0.991416335105896;0.980248749256134;0.9914162755012512;0.980248749256134;0.9914162755012512;18.0;10.0;0.026957515627145767;0.9952130317687988;0.991416335105896;67094.0;2079.0
8;0.9978278279304504;0.9954593777656555;0.9978277683258057;0.9954593777656555;0.9978277683258057;45.0;3.0;0.0010000000474974513;0.028203347697854042;0.9995903968811035;0.9938908219337463;235709.0;7321.0;0.996661901473999;0.9913969039916992;0.9966618418693542;0.9913969039916992;0.9966618418693542;12.0;1.0;0.012159174308180809;0.9995205998420715;0.9942775368690491;67103.0;2085.0
9;0.9980993866920471;0.9960014820098877;0.9980993270874023;0.9960014820098877;0.9980993270874023;41.0;4.0;0.0010000000474974513;0.024062730371952057;0.9994542002677917;0.9944338798522949;235708.0;7325.0;0.998092532157898;0.9938511848449707;0.9980924725532532;0.9938511848449707;0.9980924725532532;6.0;0.0;0.00988907739520073;1.0;0.9971387982368469;67104.0;2091.0
