epoch;accuracy;f1_beta_macro;f1_beta_micro;f1_macro;f1_micro;fn;fp;learning_rate;loss;precision;recall;tn;tp;val_accuracy;val_f1_beta_macro;val_f1_beta_micro;val_f1_macro;val_f1_micro;val_fn;val_fp;val_loss;val_precision;val_recall;val_tn;val_tp
0;0.16277490556240082;0.06981700658798218;0.16277486085891724;0.06981700658798218;0.16277486085891724;7327.0;34.0;0.0010000000474974513;2.9211556911468506;0.534246563911438;0.005294596776366234;235678.0;39.0;0.18550309538841248;0.07182638347148895;0.1855030357837677;0.07182638347148895;0.1855030357837677;2046.0;72.0;2.806412696838379;0.4146341383457184;0.024320457130670547;67032.0;51.0
1;0.2827857732772827;0.1542339324951172;0.28278571367263794;0.1542339324951172;0.28278571367263794;7003.0;65.0;0.0010000000474974513;2.5022683143615723;0.8481308221817017;0.04928047955036163;235647.0;363.0;0.3028135299682617;0.162947878241539;0.30281347036361694;0.162947878241539;0.30281347036361694;1833.0;56.0;2.6588244438171387;0.824999988079071;0.12589412927627563;67048.0;264.0
2;0.420716792345047;0.25176525115966797;0.4207167327404022;0.25176525115966797;0.4207167327404022;6129.0;146.0;0.0010000000474974513;2.053238868713379;0.8944323658943176;0.16793374717235565;235566.0;1237.0;0.3958035409450531;0.21829131245613098;0.3958034813404083;0.21829131245613098;0.3958034813404083;1689.0;171.0;2.2001802921295166;0.7046632170677185;0.19456365704536438;66933.0;408.0
3;0.5795547366142273;0.369829922914505;0.5795546770095825;0.369829922914505;0.5795546770095825;4852.0;131.0;0.0010000000474974513;1.5750442743301392;0.9504725933074951;0.34129786491394043;235581.0;2514.0;0.6165951490402222;0.3894028067588806;0.6165950894355774;0.3894028067588806;0.6165950894355774;1023.0;92.0;1.4704375267028809;0.9210977554321289;0.5121602416038513;67012.0;1074.0
4;0.7063535451889038;0.4728979766368866;0.706353485584259;0.4728979766368866;0.706353485584259;3472.0;129.0;0.0010000000474974513;1.1691248416900635;0.9679343700408936;0.5286450982093811;235583.0;3894.0;0.7663328647613525;0.5315447449684143;0.7663328647613525;0.5315447449684143;0.7663328647613525;594.0;47.0;0.8166607022285461;0.9696774482727051;0.716738224029541;67057.0;1503.0
5;0.7981265187263489;0.574512243270874;0.7981264591217041;0.574512243270874;0.7981264591217041;2426.0;65.0;0.0010000000474974513;0.8572242259979248;0.9870129823684692;0.6706489324569702;235647.0;4940.0;0.2718168795108795;0.14105360209941864;0.27181681990623474;0.14105360209941864;0.27181681990623474;1620.0;1203.0;4.212887287139893;0.2839285731315613;0.22746780514717102;65901.0;477.0
6;0.8631550073623657;0.6586576700210571;0.863154947757721;0.6586576700210571;0.863154947757721;1789.0;40.0;0.0010000000474974513;0.6186361312866211;0.9928787350654602;0.7571273446083069;235672.0;5577.0;0.8950881958007812;0.6709000468254089;0.8950881361961365;0.6709000468254089;0.8950881361961365;309.0;33.0;0.39690956473350525;0.9818781018257141;0.8526466488838196;67071.0;1788.0
7;0.901710569858551;0.7198472023010254;0.901710569858551;0.7198472023010254;0.901710569858551;1395.0;30.0;0.0010000000474974513;0.47063159942626953;0.9950008392333984;0.8106163740158081;235682.0;5971.0;0.9356223344802856;0.7504346966743469;0.9356222748756409;0.7504346966743469;0.9356222748756409;250.0;13.0;0.3139428198337555;0.9930107593536377;0.8807820677757263;67091.0;1847.0
8;0.9285908341407776;0.7871772050857544;0.9285907745361328;0.7871772050857544;0.9285907745361328;1062.0;20.0;0.0010000000474974513;0.3621329665184021;0.9968374371528625;0.8558240532875061;235692.0;6304.0;0.8898426294326782;0.6501173973083496;0.8898425698280334;0.6501173973083496;0.8898425698280334;277.0;72.0;0.4021928906440735;0.9619450569152832;0.8679065108299255;67032.0;1820.0
9;0.9450176358222961;0.8407118916511536;0.9450175762176514;0.8407118916511536;0.9450175762176514;825.0;30.0;0.0010000000474974513;0.28679323196411133;0.9954344630241394;0.8879989385604858;235682.0;6541.0;0.9561278223991394;0.8278993964195251;0.9561277627944946;0.8278993964195251;0.9561277627944946;122.0;19.0;0.16567867994308472;0.9904714226722717;0.9418216347694397;67085.0;1975.0
