epoch,accuracy,f1_beta_macro,f1_beta_micro,f1_macro,f1_micro,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_f1_beta_macro,val_f1_beta_micro,val_f1_macro,val_f1_micro,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp,learning_rate
0,0.41610100865364075,0.25900307297706604,0.41610094904899597,0.25900307297706604,0.41610094904899597,6727.0,22.0,2.3003764152526855,0.9667171239852905,0.08674993366003036,235690.0,639.0,0.630424439907074,0.40601682662963867,0.6304243803024292,0.40601682662963867,0.6304243803024292,1475.0,35.0,1.5474737882614136,0.9467275738716125,0.2966141998767853,67069.0,622.0,0.0010000000474974513
1,0.6748574376106262,0.4519679546356201,0.6748573780059814,0.4519679546356201,0.6748573780059814,4963.0,5.0,1.5200875997543335,0.9979236125946045,0.32622861862182617,235707.0,2403.0,0.7601335048675537,0.5126454830169678,0.7601334452629089,0.5126454830169678,0.7601334452629089,873.0,5.0,1.0138674974441528,0.9959316253662109,0.5836910009384155,67099.0,1224.0,0.0010000000474974513
2,0.7659516930580139,0.55240797996521,0.7659516930580139,0.55240797996521,0.7659516930580139,3427.0,2.0,1.1304539442062378,0.9994925260543823,0.5347542762756348,235710.0,3939.0,0.8426323533058167,0.6146015524864197,0.8426322937011719,0.6146015524864197,0.8426322937011719,651.0,8.0,0.7425132989883423,0.9944979548454285,0.6895565390586853,67096.0,1446.0,0.0010000000474974513
3,0.8278577327728271,0.6283206343650818,0.8278577327728271,0.6283206343650818,0.8278577327728271,2633.0,3.0,0.8805958032608032,0.9993665814399719,0.6425468325614929,235709.0,4733.0,0.7606104016304016,0.5458244681358337,0.7606103420257568,0.5458244681358337,0.7606103420257568,682.0,4.0,0.8796094655990601,0.9971811175346375,0.6747735142707825,67100.0,1415.0,0.0010000000474974513
4,0.8718435764312744,0.6925768852233887,0.8718435168266296,0.6925768852233887,0.8718435168266296,2124.0,3.0,0.7079597115516663,0.9994280338287354,0.7116481065750122,235709.0,5242.0,0.8793514370918274,0.7049921751022339,0.8793513774871826,0.7049921751022339,0.8793513774871826,432.0,3.0,0.5161621570587158,0.9982014298439026,0.7939913868904114,67101.0,1665.0,0.0010000000474974513
5,0.901710569858551,0.7477090954780579,0.901710569858551,0.7477090954780579,0.901710569858551,1725.0,2.0,0.5883375406265259,0.9996455907821655,0.7658159136772156,235710.0,5641.0,0.914639949798584,0.7264963984489441,0.9146398305892944,0.7264963984489441,0.9146398305892944,320.0,0.0,0.428043931722641,1.0,0.8474010229110718,67104.0,1777.0,0.0010000000474974513
6,0.9216670989990234,0.7918462753295898,0.9216670393943787,0.7918462753295898,0.9216670393943787,1499.0,3.0,0.49509766697883606,0.9994889497756958,0.7964974045753479,235709.0,5867.0,0.9108250141143799,0.750617265701294,0.9108249545097351,0.750617265701294,0.9108249545097351,285.0,1.0,0.3442012369632721,0.9994484186172485,0.8640915751457214,67103.0,1812.0,0.0010000000474974513
7,0.941352128982544,0.8551024794578552,0.9413520693778992,0.8551024794578552,0.9413520693778992,1243.0,1.0,0.4084276854991913,0.9998366832733154,0.8312516808509827,235711.0,6123.0,0.9704339504241943,0.8993577361106873,0.9704338908195496,0.8993577361106873,0.9704338908195496,157.0,0.0,0.19442494213581085,1.0,0.9251311421394348,67104.0,1940.0,0.0010000000474974513
8,0.9547922611236572,0.8939250111579895,0.9547922015190125,0.8939250111579895,0.9547922015190125,1031.0,2.0,0.34593465924263,0.9996843934059143,0.8600325584411621,235710.0,6335.0,0.9728183150291443,0.8984470963478088,0.9728182554244995,0.8984470963478088,0.9728182554244995,135.0,3.0,0.17886784672737122,0.9984732866287231,0.9356223344802856,67101.0,1962.0,0.0010000000474974513
9,0.9663317799568176,0.9226979613304138,0.9663317203521729,0.9226979613304138,0.9663317203521729,875.0,3.0,0.28828367590904236,0.9995380640029907,0.88121098279953,235709.0,6491.0,0.9766333103179932,0.9222927689552307,0.9766332507133484,0.9222927689552307,0.9766332507133484,112.0,0.0,0.14436650276184082,1.0,0.9465903639793396,67104.0,1985.0,0.0010000000474974513
