epoch,accuracy,f1_beta_macro,f1_beta_micro,f1_macro,f1_micro,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_f1_beta_macro,val_f1_beta_micro,val_f1_macro,val_f1_micro,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp,learning_rate
0,0.40401846170425415,0.2525443434715271,0.404018372297287,0.2525443434715271,0.404018372297287,6868.0,20.0,2.322397232055664,0.96138995885849,0.06760793179273605,235692.0,498.0,0.6680972576141357,0.43393662571907043,0.668097198009491,0.43393662571907043,0.668097198009491,1519.0,2.0,1.5185152292251587,0.9965517520904541,0.275631844997406,67102.0,578.0,0.0010000000474974513
1,0.6606027483940125,0.4418845474720001,0.6606026887893677,0.4418845474720001,0.6606026887893677,5233.0,12.0,1.5787420272827148,0.9944055676460266,0.2895737290382385,235700.0,2133.0,0.7367668151855469,0.5111268758773804,0.7367667555809021,0.5111268758773804,0.7367667555809021,1093.0,5.0,1.2223914861679077,0.9950445890426636,0.4787791967391968,67099.0,1004.0,0.0010000000474974513
2,0.7511539459228516,0.5334950089454651,0.7511538863182068,0.5334950089454651,0.7511538863182068,3643.0,5.0,1.192245364189148,0.9986587762832642,0.5054303407669067,235707.0,3723.0,0.7620410323143005,0.5155662894248962,0.7620409727096558,0.5155662894248962,0.7620409727096558,682.0,1.0,0.9600998759269714,0.9992938041687012,0.6747735142707825,67103.0,1415.0,0.0010000000474974513
3,0.8205267190933228,0.6141818165779114,0.820526659488678,0.6141818165779114,0.820526659488678,2719.0,5.0,0.9248560070991516,0.9989252090454102,0.630871593952179,235707.0,4647.0,0.8779208660125732,0.7015305757522583,0.8779208064079285,0.7015305757522583,0.8779208064079285,589.0,1.0,0.6523629426956177,0.9993373155593872,0.7191225290298462,67103.0,1508.0,0.0010000000474974513
4,0.8612543940544128,0.6725943088531494,0.8612543344497681,0.6725943088531494,0.8612543344497681,2281.0,5.0,0.7547526359558105,0.9990176558494568,0.6903339624404907,235707.0,5085.0,0.8588459491729736,0.6177707314491272,0.8588458895683289,0.6177707314491272,0.8588458895683289,427.0,13.0,0.6042150259017944,0.9922757148742676,0.7963757514953613,67091.0,1670.0,0.0010000000474974513
5,0.8988596200942993,0.7363221645355225,0.8988595008850098,0.7363221645355225,0.8988595008850098,1868.0,4.0,0.612893283367157,0.9992730021476746,0.746402382850647,235708.0,5498.0,0.8969957232475281,0.7015790939331055,0.8969956636428833,0.7015790939331055,0.8969956636428833,364.0,11.0,0.4606025516986847,0.9936926364898682,0.8264186978340149,67093.0,1733.0,0.0010000000474974513
6,0.9241107702255249,0.8037452101707458,0.9241107106208801,0.8037452101707458,0.9241107106208801,1545.0,2.0,0.5015031695365906,0.9996565580368042,0.7902525067329407,235710.0,5821.0,0.9451597332954407,0.8264848589897156,0.9451596736907959,0.8264848589897156,0.9451596736907959,280.0,5.0,0.32374757528305054,0.9972557425498962,0.8664759397506714,67099.0,1817.0,0.0010000000474974513
7,0.9416236877441406,0.8509126901626587,0.9416236281394958,0.8509126901626587,0.9416236281394958,1315.0,3.0,0.4257379174232483,0.9995044469833374,0.8214770555496216,235709.0,6051.0,0.9623271226882935,0.8735853433609009,0.9623270630836487,0.8735853433609009,0.9623270630836487,176.0,0.0,0.20806826651096344,1.0,0.9160705804824829,67104.0,1921.0,0.0010000000474974513
8,0.9556068181991577,0.8958879113197327,0.9556067585945129,0.8958879113197327,0.9556067585945129,1094.0,2.0,0.3558698296546936,0.9996812343597412,0.8514797687530518,235710.0,6272.0,0.8617072105407715,0.6549580097198486,0.8617072105407715,0.6549580097198486,0.8617072105407715,378.0,33.0,0.5198666453361511,0.9811643958091736,0.8197425007820129,67071.0,1719.0,0.0010000000474974513
9,0.9638881087303162,0.9147197008132935,0.9638880491256714,0.9147197008132935,0.9638880491256714,883.0,2.0,0.2983163297176361,0.9996916055679321,0.8801249265670776,235710.0,6483.0,0.918931782245636,0.7659429907798767,0.9189317226409912,0.7659429907798767,0.9189317226409912,240.0,2.0,0.2998696565628052,0.9989241361618042,0.8855507969856262,67102.0,1857.0,0.0010000000474974513
10,0.9721693992614746,0.9378751516342163,0.9721693396568298,0.9378751516342163,0.9721693396568298,737.0,3.0,0.2547822594642639,0.9995476603507996,0.8999456763267517,235709.0,6629.0,0.9771101474761963,0.921211302280426,0.9771100878715515,0.921211302280426,0.9771100878715515,97.0,0.0,0.13221871852874756,1.0,0.9537434577941895,67104.0,2000.0,0.0010000000474974513
11,0.9766494631767273,0.9482729434967041,0.9766494035720825,0.9482729434967041,0.9766494035720825,619.0,0.0,0.21528922021389008,1.0,0.9159652590751648,235712.0,6747.0,0.9814019799232483,0.9448082447052002,0.9814019203186035,0.9448082447052002,0.9814019203186035,63.0,1.0,0.09669412672519684,0.9995086193084717,0.9699570536613464,67103.0,2034.0,0.0010000000474974513
12,0.98112952709198,0.9599261283874512,0.9811294674873352,0.9599261283874512,0.9811294674873352,528.0,1.0,0.18800939619541168,0.999853789806366,0.9283192753791809,235711.0,6838.0,0.9694802165031433,0.9144001603126526,0.9694801568984985,0.9144001603126526,0.9694801568984985,123.0,11.0,0.14533400535583496,0.9944584369659424,0.9413447976112366,67093.0,1974.0,0.0010000000474974513
13,0.9835731983184814,0.9665188789367676,0.9835731387138367,0.9665188789367676,0.9835731387138367,400.0,3.0,0.15688641369342804,0.9995695352554321,0.9456964135169983,235709.0,6966.0,0.9842632412910461,0.9503189325332642,0.9842631816864014,0.9503189325332642,0.9842631816864014,46.0,0.0,0.07843531668186188,1.0,0.9780638813972473,67104.0,2051.0,0.0010000000474974513
14,0.9847949743270874,0.9687737822532654,0.9847949147224426,0.9687737822532654,0.9847949147224426,351.0,2.0,0.14255505800247192,0.9997149705886841,0.9523486495018005,235710.0,7015.0,0.9852169752120972,0.9516423940658569,0.9852169156074524,0.9516423940658569,0.9852169156074524,46.0,0.0,0.0708916038274765,1.0,0.9780638813972473,67104.0,2051.0,0.0010000000474974513
15,0.9873744249343872,0.9755123257637024,0.9873743653297424,0.9755123257637024,0.9873743653297424,289.0,0.0,0.12460760027170181,1.0,0.9607656598091125,235712.0,7077.0,0.9856938719749451,0.9612703919410706,0.9856938123703003,0.9612703919410706,0.9856938123703003,44.0,1.0,0.0673270970582962,0.9995131492614746,0.9790176153182983,67103.0,2053.0,0.0010000000474974513
16,0.9894108176231384,0.9791560173034668,0.9894107580184937,0.9791560173034668,0.9894107580184937,275.0,0.0,0.113186314702034,1.0,0.9626663327217102,235712.0,7091.0,0.989031970500946,0.9693969488143921,0.9890319108963013,0.9693969488143921,0.9890319108963013,44.0,0.0,0.058314502239227295,1.0,0.9790176153182983,67104.0,2053.0,0.0010000000474974513
17,0.9887320399284363,0.9783022403717041,0.9887319803237915,0.9783022403717041,0.9887319803237915,218.0,0.0,0.10158153623342514,1.0,0.9704045653343201,235712.0,7148.0,0.9842632412910461,0.9553917050361633,0.9842631816864014,0.9553917050361633,0.9842631816864014,42.0,4.0,0.06779612600803375,0.9980573058128357,0.9799714088439941,67100.0,2055.0,0.0010000000474974513
18,0.9902253746986389,0.9803257584571838,0.9902253150939941,0.9803257584571838,0.9902253150939941,201.0,3.0,0.09358911216259003,0.9995814561843872,0.9727124571800232,235709.0,7165.0,0.9899857044219971,0.9761030077934265,0.9899856448173523,0.9761030077934265,0.9899856448173523,40.0,0.0,0.053128793835639954,1.0,0.9809251427650452,67104.0,2057.0,0.0010000000474974513
19,0.9903610944747925,0.9799647331237793,0.9903610348701477,0.9799647331237793,0.9903610348701477,168.0,1.0,0.08268977701663971,0.9998611211776733,0.9771925210952759,235711.0,7198.0,0.9885550737380981,0.9725368618965149,0.9885550141334534,0.9725368618965149,0.9885550141334534,34.0,1.0,0.05269060283899307,0.9995155334472656,0.9837863445281982,67103.0,2063.0,0.0010000000474974513
20,0.9917187094688416,0.9832988977432251,0.9917186498641968,0.9832988977432251,0.9917186498641968,164.0,0.0,0.07845770567655563,1.0,0.9777355194091797,235712.0,7202.0,0.988078236579895,0.9605240821838379,0.9880781769752502,0.9605240821838379,0.9880781769752502,35.0,0.0,0.05046519264578819,1.0,0.9833095073699951,67104.0,2062.0,0.0010000000474974513
21,0.9926690459251404,0.9856464266777039,0.9926689863204956,0.9856464266777039,0.9926689863204956,136.0,1.0,0.06948317587375641,0.9998617172241211,0.9815368056297302,235711.0,7230.0,0.9899857044219971,0.9743637442588806,0.9899856448173523,0.9743637442588806,0.9899856448173523,33.0,1.0,0.04853510484099388,0.9995157122612,0.9842632412910461,67103.0,2064.0,0.0010000000474974513
22,0.9930763244628906,0.9857925772666931,0.9930762648582458,0.9857925772666931,0.9930762648582458,130.0,2.0,0.06457286328077316,0.9997236728668213,0.9823513627052307,235710.0,7236.0,0.9918931722640991,0.9754502177238464,0.9918931126594543,0.9754502177238464,0.9918931126594543,27.0,0.0,0.03973481431603432,1.0,0.9871244430541992,67104.0,2070.0,0.0010000000474974513
23,0.9929405450820923,0.9852153658866882,0.9929404854774475,0.9852153658866882,0.9929404854774475,130.0,3.0,0.061893414705991745,0.9995855689048767,0.9823513627052307,235709.0,7236.0,0.9885550737380981,0.9661758542060852,0.9885550141334534,0.9661758542060852,0.9885550141334534,34.0,0.0,0.04648197442293167,1.0,0.9837863445281982,67104.0,2063.0,0.0010000000474974513
24,0.9947053790092468,0.9896780252456665,0.994705319404602,0.9896780252456665,0.994705319404602,115.0,0.0,0.05665102228522301,1.0,0.9843877553939819,235712.0,7251.0,0.9780638813972473,0.9310998916625977,0.9780638217926025,0.9310998916625977,0.9780638217926025,52.0,42.0,0.08072246611118317,0.9798754453659058,0.9752026796340942,67062.0,2045.0,0.0010000000474974513
25,0.9948411583900452,0.9911025166511536,0.9948410987854004,0.9911025166511536,0.9948410987854004,136.0,0.0,0.0592939667403698,1.0,0.9815368056297302,235712.0,7230.0,0.9904625415802002,0.9742370247840881,0.9904624819755554,0.9742370247840881,0.9904624819755554,31.0,0.0,0.04353487864136696,1.0,0.9852169752120972,67104.0,2066.0,0.0010000000474974513
26,0.9956557154655457,0.9920898079872131,0.9956556558609009,0.9920898079872131,0.9956556558609009,86.0,0.0,0.04769749566912651,1.0,0.988324761390686,235712.0,7280.0,0.9918931722640991,0.9818462133407593,0.9918931126594543,0.9818462133407593,0.9918931126594543,24.0,0.0,0.035249531269073486,1.0,0.9885550737380981,67104.0,2073.0,0.0005000000237487257
27,0.9953842163085938,0.9899866580963135,0.995384156703949,0.9899866580963135,0.995384156703949,94.0,0.0,0.04603322595357895,1.0,0.9872386455535889,235712.0,7272.0,0.992370069026947,0.9805188179016113,0.9923700094223022,0.9805188179016113,0.9923700094223022,24.0,0.0,0.03252047300338745,1.0,0.9885550737380981,67104.0,2073.0,0.0005000000237487257
28,0.9963344931602478,0.992527961730957,0.996334433555603,0.992527961730957,0.996334433555603,85.0,2.0,0.043034207075834274,0.9997254014015198,0.9884604811668396,235710.0,7281.0,0.993323802947998,0.9833056330680847,0.9933237433433533,0.9833056330680847,0.9933237433433533,23.0,0.0,0.029273230582475662,1.0,0.989031970500946,67104.0,2074.0,0.0005000000237487257
29,0.9961987733840942,0.9927390217781067,0.9961987137794495,0.9927390217781067,0.9961987137794495,84.0,0.0,0.04424653947353363,1.0,0.9885962605476379,235712.0,7282.0,0.9952312707901001,0.9878135323524475,0.9952312111854553,0.9878135323524475,0.9952312111854553,23.0,0.0,0.03107479028403759,1.0,0.989031970500946,67104.0,2074.0,0.0005000000237487257
30,0.9970133304595947,0.994071364402771,0.99701327085495,0.994071364402771,0.99701327085495,73.0,1.0,0.039334289729595184,0.9998629093170166,0.9900895953178406,235711.0,7293.0,0.9899857044219971,0.9765005111694336,0.9899856448173523,0.9765005111694336,0.9899856448173523,25.0,0.0,0.03471002355217934,1.0,0.988078236579895,67104.0,2072.0,0.0005000000237487257
31,0.9970133304595947,0.9947639107704163,0.99701327085495,0.9947639107704163,0.99701327085495,77.0,0.0,0.03974766656756401,1.0,0.989546537399292,235712.0,7289.0,0.9928469061851501,0.9832419157028198,0.9928468465805054,0.9832419157028198,0.9928468465805054,23.0,0.0,0.02889902889728546,1.0,0.989031970500946,67104.0,2074.0,0.0005000000237487257
32,0.9976921081542969,0.9952751994132996,0.9976920485496521,0.9952751994132996,0.9976920485496521,80.0,0.0,0.038505420088768005,1.0,0.9891392588615417,235712.0,7286.0,0.993323802947998,0.9816218018531799,0.9933237433433533,0.9816218018531799,0.9933237433433533,22.0,0.0,0.03081842139363289,1.0,0.9895088076591492,67104.0,2075.0,0.0005000000237487257
33,0.9972848296165466,0.9942594766616821,0.9972847700119019,0.9942594766616821,0.9972847700119019,74.0,0.0,0.03836727887392044,1.0,0.9899538159370422,235712.0,7292.0,0.9952312707901001,0.9869292378425598,0.9952312111854553,0.9869292378425598,0.9952312111854553,21.0,0.0,0.027862517163157463,1.0,0.9899857044219971,67104.0,2076.0,0.0005000000237487257
34,0.9972848296165466,0.9945617318153381,0.9972847700119019,0.9945617318153381,0.9972847700119019,73.0,0.0,0.03621520847082138,1.0,0.9900895953178406,235712.0,7293.0,0.9938006401062012,0.9831327795982361,0.9938005805015564,0.9831327795982361,0.9938005805015564,23.0,0.0,0.02859029732644558,1.0,0.989031970500946,67104.0,2074.0,0.0005000000237487257
35,0.9972848296165466,0.9943536520004272,0.9972847700119019,0.9943536520004272,0.9972847700119019,65.0,0.0,0.03476356342434883,1.0,0.991175651550293,235712.0,7301.0,0.9938006401062012,0.9832879304885864,0.9938005805015564,0.9832879304885864,0.9938005805015564,22.0,0.0,0.029198743402957916,1.0,0.9895088076591492,67104.0,2075.0,0.0005000000237487257
36,0.9972848296165466,0.9950457215309143,0.9972847700119019,0.9950457215309143,0.9972847700119019,59.0,1.0,0.03319829702377319,0.9998631477355957,0.9919902086257935,235711.0,7307.0,0.991416335105896,0.9797859191894531,0.9914162755012512,0.9797859191894531,0.9914162755012512,22.0,0.0,0.029005039483308792,1.0,0.9895088076591492,67104.0,2075.0,0.0005000000237487257
37,0.9987781643867493,0.9980491995811462,0.9987781047821045,0.9980491995811462,0.9987781047821045,67.0,0.0,0.03231288120150566,1.0,0.9909041523933411,235712.0,7299.0,0.9928469061851501,0.9824351668357849,0.9928468465805054,0.9824351668357849,0.9928468465805054,22.0,0.0,0.027627116069197655,1.0,0.9895088076591492,67104.0,2075.0,0.0002500000118743628
38,0.9978278279304504,0.9956027865409851,0.9978277683258057,0.9956027865409851,0.9978277683258057,65.0,0.0,0.031559187918901443,1.0,0.991175651550293,235712.0,7301.0,0.9928469061851501,0.9786714315414429,0.9928468465805054,0.9786714315414429,0.9928468465805054,22.0,0.0,0.029444463551044464,1.0,0.9895088076591492,67104.0,2075.0,0.0002500000118743628
39,0.9986423850059509,0.996671736240387,0.9986423254013062,0.996671736240387,0.9986423254013062,64.0,0.0,0.03096986934542656,1.0,0.9913114309310913,235712.0,7302.0,0.9952312707901001,0.9878639578819275,0.9952312111854553,0.9878639578819275,0.9952312111854553,21.0,0.0,0.02582373097538948,1.0,0.9899857044219971,67104.0,2076.0,0.0002500000118743628
40,0.9979636073112488,0.9968134760856628,0.997963547706604,0.9968134760856628,0.997963547706604,56.0,0.0,0.030954523012042046,1.0,0.9923974871635437,235712.0,7310.0,0.9952312707901001,0.9882485270500183,0.9952312111854553,0.9882485270500183,0.9952312111854553,21.0,0.0,0.0260931346565485,1.0,0.9899857044219971,67104.0,2076.0,0.0002500000118743628
41,0.9985066652297974,0.9974061250686646,0.9985066056251526,0.9974061250686646,0.9985066056251526,62.0,0.0,0.02896825037896633,1.0,0.9915829300880432,235712.0,7304.0,0.994754433631897,0.9873923063278198,0.9947543740272522,0.9873923063278198,0.9947543740272522,21.0,0.0,0.02615891955792904,1.0,0.9899857044219971,67104.0,2076.0,0.0002500000118743628
42,0.9986423850059509,0.9972269535064697,0.9986423254013062,0.9972269535064697,0.9986423254013062,66.0,0.0,0.029734361916780472,1.0,0.9910399317741394,235712.0,7300.0,0.995708167552948,0.989326000213623,0.9957081079483032,0.989326000213623,0.9957081079483032,21.0,0.0,0.025715826079249382,1.0,0.9899857044219971,67104.0,2076.0,0.0002500000118743628
43,0.9985066652297974,0.997153639793396,0.9985066056251526,0.997153639793396,0.9985066056251526,50.0,0.0,0.028098411858081818,1.0,0.9932120442390442,235712.0,7316.0,0.9952312707901001,0.9889023303985596,0.9952312111854553,0.9889023303985596,0.9952312111854553,22.0,0.0,0.027016282081604004,1.0,0.9895088076591492,67104.0,2075.0,0.0002500000118743628
44,0.9985066652297974,0.9972351789474487,0.9985066056251526,0.9972351789474487,0.9985066056251526,57.0,0.0,0.029204681515693665,1.0,0.9922617673873901,235712.0,7309.0,0.994754433631897,0.9858192801475525,0.9947543740272522,0.9858192801475525,0.9947543740272522,20.0,0.0,0.023916292935609818,1.0,0.9904625415802002,67104.0,2077.0,0.0002500000118743628
45,0.9989139437675476,0.9980536699295044,0.9989138841629028,0.9980536699295044,0.9989138841629028,56.0,0.0,0.027853306382894516,1.0,0.9923974871635437,235712.0,7310.0,0.9961850047111511,0.9893283247947693,0.9961849451065063,0.9893283247947693,0.9961849451065063,20.0,0.0,0.024630021303892136,1.0,0.9904625415802002,67104.0,2077.0,0.0002500000118743628
46,0.9980993866920471,0.9958922863006592,0.9980993270874023,0.9958922863006592,0.9980993270874023,61.0,0.0,0.030445022508502007,1.0,0.9917187094688416,235712.0,7305.0,0.996661901473999,0.9901983141899109,0.9966618418693542,0.9901983141899109,0.9966618418693542,19.0,0.0,0.02255362644791603,1.0,0.9909394383430481,67104.0,2078.0,0.0002500000118743628
