epoch;accuracy;f1_beta_macro;f1_beta_micro;f1_macro;f1_micro;fn;fp;learning_rate;loss;precision;recall;tn;tp;val_accuracy;val_f1_beta_macro;val_f1_beta_micro;val_f1_macro;val_f1_micro;val_fn;val_fp;val_loss;val_precision;val_recall;val_tn;val_tp
0;0.13901710510253906;0.0517047680914402;0.13901706039905548;0.0517047680914402;0.13901706039905548;7352.0;27.0;0.0010000000474974513;2.997157335281372;0.3414634168148041;0.0019006244838237762;235685.0;14.0;0.15736766159534454;0.05100488290190697;0.15736761689186096;0.05100488290190697;0.15736761689186096;2015.0;128.0;3.1179471015930176;0.39047619700431824;0.03910348191857338;66976.0;82.0
1;0.19834373891353607;0.09472686797380447;0.1983436942100525;0.09472686797380447;0.1983436942100525;7331.0;21.0;0.0010000000474974513;2.7154428958892822;0.625;0.004751561209559441;235691.0;35.0;0.21697662770748138;0.09916864335536957;0.2169765681028366;0.09916864335536957;0.2169765681028366;1953.0;156.0;2.6786649227142334;0.47999998927116394;0.06866952776908875;66948.0;144.0
2;0.2818354666233063;0.1494533121585846;0.2818354070186615;0.1494533121585846;0.2818354070186615;7082.0;62.0;0.0010000000474974513;2.4487032890319824;0.8208092451095581;0.03855552524328232;235650.0;284.0;0.182641863822937;0.06455598026514053;0.18264180421829224;0.06455598026514053;0.18264180421829224;1910.0;199.0;2.92916202545166;0.48445597290992737;0.08917500823736191;66905.0;187.0
3;0.4023893475532532;0.24250102043151855;0.402389258146286;0.24250102043151855;0.402389258146286;6418.0;54.0;0.0010000000474974513;2.1054656505584717;0.946107804775238;0.1286994367837906;235658.0;948.0;0.4973772168159485;0.31448307633399963;0.4973771572113037;0.31448307633399963;0.4973771572113037;1578.0;163.0;1.6496225595474243;0.7609970569610596;0.24749642610549927;66941.0;519.0
4;0.5867499113082886;0.3752603828907013;0.5867498517036438;0.3752603828907013;0.5867498517036438;4953.0;80.0;0.0010000000474974513;1.5889822244644165;0.9679101705551147;0.32758620381355286;235632.0;2413.0;0.6156414151191711;0.38052424788475037;0.6156413555145264;0.38052424788475037;0.6156413555145264;1233.0;73.0;1.4178142547607422;0.9220917820930481;0.41201716661453247;67031.0;864.0
5;0.7047244310379028;0.47437459230422974;0.7047243714332581;0.47437459230422974;0.7047243714332581;3519.0;87.0;0.0010000000474974513;1.1892569065093994;0.9778851270675659;0.5222644805908203;235625.0;3847.0;0.6948021054267883;0.46041181683540344;0.6948020458221436;0.46041181683540344;0.6948020458221436;812.0;152.0;1.2050994634628296;0.8942241072654724;0.6127801537513733;66952.0;1285.0
6;0.7912028431892395;0.5647373199462891;0.7912027835845947;0.5647373199462891;0.7912027835845947;2485.0;72.0;0.0010000000474974513;0.882325291633606;0.9854633808135986;0.6626391410827637;235640.0;4881.0;0.7806389927864075;0.5520505905151367;0.7806389331817627;0.5520505905151367;0.7806389331817627;692.0;76.0;0.7833684682846069;0.9486833214759827;0.6700047850608826;67028.0;1405.0
7;0.8445560932159424;0.6362267136573792;0.8445560336112976;0.6362267136573792;0.8445560336112976;1968.0;58.0;0.0010000000474974513;0.6758414506912231;0.9893695116043091;0.7328264713287354;235654.0;5398.0;0.8717215061187744;0.6527987122535706;0.8717214465141296;0.6527987122535706;0.8717214465141296;433.0;35.0;0.4913579225540161;0.9793996214866638;0.7935145497322083;67069.0;1664.0
8;0.8836546540260315;0.7092848420143127;0.8836545944213867;0.7092848420143127;0.8836545944213867;1583.0;40.0;0.0010000000474974513;0.5255615711212158;0.9931306838989258;0.7850936651229858;235672.0;5783.0;0.8650453090667725;0.6484658718109131;0.8650453090667725;0.6484658718109131;0.8650453090667725;379.0;63.0;0.45283636450767517;0.9646266102790833;0.819265604019165;67041.0;1718.0
9;0.916372537612915;0.7743169069290161;0.9163724780082703;0.7743169069290161;0.9163724780082703;1228.0;43.0;0.0010000000474974513;0.403888463973999;0.9930431842803955;0.8332880735397339;235669.0;6138.0;0.905102550983429;0.7514837980270386;0.9051024913787842;0.7514837980270386;0.9051024913787842;278.0;81.0;0.342427521944046;0.9573684334754944;0.8674296736717224;67023.0;1819.0
